model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
BMW X6 xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2257219&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257219&gubun=I,False,,BMW X6 3세대  xDrive 30d M 스포츠,,False,,,,2021.01,41000.0,디젤,자동,흰색,2993.0,
BMW X6 xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2256581&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256581&gubun=I,False,,BMW X6 3세대  xDrive 30d M 스포츠,,False,,,,2024.04,94600.0,디젤 하이브리드,자동,흰색,2993.0,
BMW X6 xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2256353&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256353&gubun=I,False,8190.0,BMW X6 3세대  xDrive 30d M 스포츠,8190.0,False,,,,2022.02,40237.0,디젤,자동,검정색,2993.0,
BMW X6 xDrive 40i M 스포츠,/mycar/mycar_view.php?no=2256354&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256354&gubun=I,False,7550.0,BMW X6 3세대  xDrive 40i M 스포츠,7550.0,False,,,,2022.08,83243.0,가솔린,자동,검정색,2998.0,
BMW X6 3세대  xDrive 40i M 스포츠,/mycar/mycar_view.php?no=2256329&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256329&gubun=I,True,1000.0,BMW X6 3세대  xDrive 40i M 스포츠,1000.0,True,,,32 / 60,2023.09 (24년형),22000.0,가솔린,자동,기타색상,2998.0,
BMW X6 xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2255632&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255632&gubun=I,False,,BMW X6 3세대  xDrive 30d M 스포츠,,False,,,,2025.06,6001.0,디젤,자동,진청색,2993.0,
BMW X6 xDrive 40d M 스포츠 온라인 익스클루시브,/mycar/mycar_view.php?no=2254422&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254422&gubun=I,False,,BMW X6 3세대  xDrive 40d M 스포츠 온라인 익스클루시브,,False,,,,2025.05,5035.0,디젤,자동,흰색,2993.0,
BMW X6 xDrive 40i M 스포츠,/mycar/mycar_view.php?no=2254259&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254259&gubun=I,False,,BMW X6 3세대  xDrive 40i M 스포츠,,False,,,,2025.05,5010.0,가솔린,자동,진회색,2998.0,
BMW X6 M50i,/mycar/mycar_view.php?no=2252257&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252257&gubun=I,False,,BMW X6 3세대  M50i -,,False,,,,2022.12 (23년형),21000.0,가솔린,자동,진청색,4395.0,
BMW X6 M50d,/mycar/mycar_view.php?no=2255726&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255726&gubun=I,False,5300.0,BMW X6 2세대  M50d -,5300.0,False,,,,2019.02 (17년형),43408.0,디젤,자동,흰색,2993.0,
BMW X6 xDrive 50i,/mycar/mycar_view.php?no=2253661&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253661&gubun=I,False,,BMW X6 1세대  xDrive 50i -,,False,,,,2014.01,57680.0,가솔린,자동,청색,4395.0,
BMW X4 xDrive 20i M 스포츠 프로,/mycar/mycar_view.php?no=2257322&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257322&gubun=I,False,,BMW X4 2세대  xDrive 20i M 스포츠 프로,,False,,,,2025.01,9200.0,가솔린,자동,진회색,1998.0,
BMW X4 xDrive 20i M 스포츠,/mycar/mycar_view.php?no=2257221&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257221&gubun=I,False,,BMW X4 2세대  xDrive 20i M 스포츠,,False,,,,2024.12 (25년형),13000.0,가솔린,자동,청색,1998.0,
BMW X4 xDrive 20i M 스포츠,/mycar/mycar_view.php?no=2256604&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256604&gubun=I,False,,BMW X4 2세대  xDrive 20i M 스포츠,,False,,,,2024.02,21779.0,가솔린,자동,흰색,1998.0,
BMW X4 2세대  xDrive 20i M 스포츠,/mycar/mycar_view.php?no=2255626&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255626&gubun=I,False,6000.0,BMW X4 2세대  xDrive 20i M 스포츠,6000.0,False,,,,2023.09,29000.0,가솔린,자동,검정색,1998.0,
BMW X4 2세대 xDrive 20i  M 스포츠,/mycar/mycar_view.php?no=2254742&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254742&gubun=I,True,400.0,BMW X4 2세대 xDrive 20i  M 스포츠,400.0,True,,,13 / 49,2022.11,69000.0,가솔린,자동,흰색,1998.0,
BMW X4 M40i,/mycar/mycar_view.php?no=2249911&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249911&gubun=I,False,6080.0,BMW X4 2세대  M40i -,6080.0,False,,,,2021.02,46983.0,가솔린,자동,청색,2998.0,
BMW X4 xDrive 20i X라인,/mycar/mycar_view.php?no=2246397&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246397&gubun=I,False,,BMW X4 2세대  xDrive 20i X라인,,False,,,,2024.03,13262.0,가솔린,자동,검정색,1998.0,
BMW  GT 630i GT xDrive 럭셔리,/mycar/mycar_view.php?no=2255769&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255769&gubun=I,False,,BMW   630i GT xDrive 럭셔리,,False,,,,2023.10 (24년형),36000.0,가솔린,자동,검정색,2998.0,
BMW 6 GT 630i GT xDrive 럭셔리,/mycar/mycar_view.php?no=2257097&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257097&gubun=I,False,5950.0,BMW  630i GT xDrive 럭셔리,5950.0,False,,,,2023.09,37400.0,가솔린,자동,검정색,2998.0,
BMW 6 GT 620d GT M 스포츠,/mycar/mycar_view.php?no=2255884&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255884&gubun=I,True,100.0,BMW  620d GT M 스포츠,100.0,True,,,57 / 60,2023.05,33500.0,디젤,자동,흰색,1995.0,
BMW 6 GT 630i GT xDrive  럭셔리,/mycar/mycar_view.php?no=2255868&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255868&gubun=I,True,900.0,BMW  630i GT xDrive  럭셔리,900.0,True,,,18 / 36,2024.07,35000.0,가솔린,자동,검정색,2998.0,
BMW 6 GT 630i GT xDrive M 스포츠,/mycar/mycar_view.php?no=2255099&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255099&gubun=I,True,7540.0,BMW  630i GT xDrive M 스포츠,7540.0,True,,,44 / 60,2024.08,25000.0,가솔린,자동,흰색,2998.0,
BMW 5 GT GT 20d ED 에디션,/mycar/mycar_view.php?no=2256118&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256118&gubun=I,False,1100.0,BMW  GT 20d ED 에디션,1100.0,False,,,,2013.08,108500.0,디젤,자동,흰색,1995.0,
BMW X4 M 3.0 컴페티션,/mycar/mycar_view.php?no=2257136&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257136&gubun=I,False,,BMW X4 M  3.0 컴페티션,,False,,,,2021.06,98349.0,가솔린,자동,기타색상,2993.0,
BMW Z4 sDrive20i M 스포츠,/mycar/mycar_view.php?no=2244821&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2244821&gubun=I,False,,BMW Z4  sDrive20i M 스포츠,,False,,,,2024.06 (25년형),8700.0,가솔린,자동,흰색,1998.0,
BMW M8 4.4 그란쿠페  컴페티션,/mycar/mycar_view.php?no=2254729&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254729&gubun=I,False,16900.0,BMW M8 4.4 그란쿠페  컴페티션,16900.0,False,,,,2024.12,4199.0,가솔린,자동,흰색,4395.0,
BMW M8 4.4 그란쿠페 컴페티션,/mycar/mycar_view.php?no=2243355&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2243355&gubun=I,False,9350.0,BMW M8  4.4 그란쿠페 컴페티션,9350.0,False,,,,2020.05,48900.0,가솔린,자동,진회색,4395.0,
BMW X5 xDrive 40i X라인 7인승,/mycar/mycar_view.php?no=2255045&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255045&gubun=I,False,8589.0,BMW X5 4세대  xDrive 40i X라인 7인승,8589.0,False,,,,2023.03,41993.0,가솔린,자동,흰색,2998.0,
BMW X5 4세대 xDrive 40i X라인 7인승,/mycar/mycar_view.php?no=2257401&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257401&gubun=I,False,8500.0,BMW X5 4세대 xDrive 40i X라인 7인승,8500.0,False,,,,2023.01,41000.0,가솔린,자동,흰색,2998.0,
